filename,n_grains,median_ecd_count_mm,meanw_ecd_area_mm,count_Medplus_pct,count_Fine_pct,count_VFine_pct,count_Silt_pct,area_Medplus_pct,area_Fine_pct,area_VFine_pct,area_Silt_pct
LLCR02-01-4_2271_cp_masks.png,1445,0.0805,0.2136,2.7,17.2,52.0,28.1,23.8,38.1,32.9,5.2
LLCR02-01-5_2271_cp_masks.png,1733,0.0678,0.2339,2.3,11.5,43.7,42.5,27.5,31.2,32.8,8.6
LLCR02-02-1_2271_cp_masks.png,1273,0.0819,0.1827,1.9,21.9,44.0,32.2,13.5,52.4,28.7,5.4
LLCR02-02-2_2271_cp_masks.png,1268,0.0795,0.1853,2.2,20.0,42.6,35.2,16.6,47.3,29.9,6.2
LLCR02-02-3_2271_cp_masks.png,1367,0.085,0.1733,1.8,19.7,50.0,28.5,12.6,46.5,35.5,5.4
LLCR02-02-4_2271_cp_masks.png,1205,0.0865,0.194,1.9,21.6,51.9,24.6,15.5,45.9,33.7,4.8
LLCR02-02-5_2271_cp_masks.png,1248,0.0892,0.1945,1.8,24.4,53.9,19.9,14.1,50.0,32.2,3.7
LLCR03-01-1_2271_cp_masks.png,1380,0.0673,0.3348,3.1,10.0,42.2,44.6,43.5,21.4,27.4,7.7
LLCR03-01-2_2271_cp_masks.png,1383,0.0723,0.298,1.8,12.7,45.5,40.0,31.1,29.2,32.5,7.3
LLCR03-01-3_2271_cp_masks.png,716,0.0893,0.323,4.9,17.0,57.5,20.5,46.3,24.2,26.6,2.9
LLCR03-01-4_2271_cp_masks.png,446,0.0927,0.2941,5.2,23.3,49.6,22.0,41.3,34.1,21.6,3.0
LLCR03-01-5_2271_cp_masks.png,618,0.1115,0.3578,10.4,30.4,46.6,12.6,54.3,30.4,14.2,1.1
LLCR03-02-1_2271_cp_masks.png,1349,0.0905,0.1751,1.0,22.3,54.6,22.1,9.3,47.2,38.8,4.7
LLCR03-02-2_2271_cp_masks.png,1400,0.0841,0.2258,1.6,17.6,52.8,27.9,19.6,38.3,36.6,5.5
LLCR03-02-3_2271_cp_masks.png,582,0.1267,0.2867,8.2,42.6,43.0,6.2,37.7,47.0,14.6,0.7
LLCR03-02-4_2271_cp_masks.png,1178,0.0937,0.1822,2.0,22.2,57.8,18.0,13.4,46.7,36.4,3.5
LLCR03-02-5_2271_cp_masks.png,812,0.1003,0.2663,4.3,30.7,49.9,15.1,30.4,45.5,22.0,2.1
LLCR03-03-1_2271_cp_masks.png,1189,0.093,0.2023,1.1,24.0,54.9,20.0,11.0,47.9,37.0,4.0
LLCR03-03-2_2271_cp_masks.png,1300,0.0842,0.2353,2.0,19.9,46.5,31.6,20.9,42.6,31.1,5.3
LLCR03-03-3_2271_cp_masks.png,844,0.053,0.3827,6.8,11.5,23.1,58.6,63.3,19.7,11.1,5.8
LLCR03-03-4_2271_cp_masks.png,1088,0.0876,0.282,2.8,19.7,49.4,28.1,31.0,36.2,28.5,4.4
LLCR03-03-5_2271_cp_masks.png,2029,0.0745,0.1572,0.4,13.7,48.0,37.9,5.7,38.6,46.1,9.5
LLCR05-01-1_2271_cp_masks.png,875,0.107,0.2448,5.1,33.8,48.5,12.6,29.5,48.2,20.8,1.5
LLCR05-01-2_2271_cp_masks.png,937,0.1052,0.2619,6.2,31.6,47.4,14.8,34.9,43.8,19.7,1.7
LLCR05-01-3_2271_cp_masks.png,1065,0.1077,0.2045,2.7,36.0,47.0,14.3,16.7,57.5,23.6,2.1
LLCR05-01-4_2271_cp_masks.png,635,0.1267,0.2564,10.9,39.5,41.9,7.7,40.2,45.2,13.9,0.7
LLCR05-01-5_2271_cp_masks.png,795,0.1151,0.2641,7.4,35.8,44.8,11.9,37.3,44.5,17.0,1.3
LLCR05-02-1_2271_cp_masks.png,1522,0.0966,0.1418,0.3,26.6,56.0,17.1,1.8,53.1,41.5,3.6
LLCR05-02-2_2271_cp_masks.png,1725,0.0912,0.1351,0.3,15.9,64.9,18.9,2.5,37.1,55.9,4.6
LLCR05-02-3_2271_cp_masks.png,520,0.1288,0.3438,12.9,40.2,38.7,8.3,54.5,34.4,10.4,0.7
